order_number,product_key,customer_key,customer_id,order_date,shipping_date,due_date,Sales_amount,quantity,price
SO43697,20,10769,21768,12/29/2010 00:00,1/5/2011 00:00,1/10/2011 00:00,3578,1,3578
SO43698,9,17390,28389,12/29/2010 00:00,1/5/2011 00:00,1/10/2011 00:00,3400,1,3400
SO43699,9,14864,25863,12/29/2010 00:00,1/5/2011 00:00,1/10/2011 00:00,3400,1,3400
SO43700,41,3502,14501,12/29/2010 00:00,1/5/2011 00:00,1/10/2011 00:00,699,1,699
SO43701,9,4,11003,12/29/2010 00:00,1/5/2011 00:00,1/10/2011 00:00,3400,1,3400
SO43702,16,16646,27645,12/30/2010 00:00,1/6/2011 00:00,1/11/2011 00:00,3578,1,3578
SO43703,20,5625,16624,12/30/2010 00:00,1/6/2011 00:00,1/11/2011 00:00,3578,1,3578
SO43704,6,6,11005,12/30/2010 00:00,1/6/2011 00:00,1/11/2011 00:00,3375,1,3375
SO43705,7,12,11011,12/30/2010 00:00,1/6/2011 00:00,1/11/2011 00:00,3400,1,3400
SO43706,17,16622,27621,12/31/2010 00:00,1/7/2011 00:00,1/12/2011 00:00,3578,1,3578
SO43707,17,16617,27616,12/31/2010 00:00,1/7/2011 00:00,1/12/2011 00:00,3578,1,3578
SO43708,44,9043,20042,12/31/2010 00:00,1/7/2011 00:00,1/12/2011 00:00,699,1,699
SO43709,18,5352,16351,12/31/2010 00:00,1/7/2011 00:00,1/12/2011 00:00,3578,1,3578
SO43710,19,5518,16517,12/31/2010 00:00,1/7/2011 00:00,1/12/2011 00:00,3578,1,3578
SO43711,19,16607,27606,1/1/2011 00:00,1/8/2011 00:00,1/13/2011 00:00,3578,1,3578
SO43712,16,2514,13513,1/1/2011 00:00,1/8/2011 00:00,1/13/2011 00:00,3578,1,3578
SO43713,20,16602,27601,1/2/2011 00:00,1/9/2011 00:00,1/14/2011 00:00,3578,1,3578
SO43714,16,2592,13591,1/2/2011 00:00,1/9/2011 00:00,1/14/2011 00:00,3578,1,3578
SO43715,19,5484,16483,1/2/2011 00:00,1/9/2011 00:00,1/14/2011 00:00,3578,1,3578
SO43716,16,5530,16529,1/2/2011 00:00,1/9/2011 00:00,1/14/2011 00:00,3578,1,3578
SO43717,41,14250,25249,1/2/2011 00:00,1/9/2011 00:00,1/14/2011 00:00,699,1,699
SO43718,16,16669,27668,1/3/2011 00:00,1/10/2011 00:00,1/15/2011 00:00,3578,1,3578
SO43719,17,16613,27612,1/3/2011 00:00,1/10/2011 00:00,1/15/2011 00:00,3578,1,3578
SO43720,16,2265,13264,1/3/2011 00:00,1/10/2011 00:00,1/15/2011 00:00,3578,1,3578
SO43721,20,2591,13590,1/3/2011 00:00,1/10/2011 00:00,1/15/2011 00:00,3578,1,3578
SO43722,17,2582,13581,1/4/2011 00:00,1/11/2011 00:00,1/16/2011 00:00,3578,1,3578
SO43723,39,3521,14520,1/4/2011 00:00,1/11/2011 00:00,1/16/2011 00:00,699,1,699
